Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,245.33999633789062,245.52999877929688,236.22999572753906,239.02000427246094,236.65333557128906,1114900
2021-01-05,239.36000061035156,241.5399932861328,238.25,239.66000366210938,237.2869873046875,1363900
2021-01-06,238.8800048828125,242.72000122070312,236.77000427246094,242.4499969482422,240.0493621826172,1981800
2021-01-07,242.7899932861328,244.22999572753906,239.64999389648438,243.72000122070312,241.3068084716797,921100
2021-01-08,244.58999633789062,247.44000244140625,241.63999938964844,243.66000366210938,241.2473907470703,1378500
2021-01-11,242.6199951171875,243.3300018310547,240.7899932861328,241.85000610351562,239.455322265625,544800
2021-01-12,240.35000610351562,241.82000732421875,237.2899932861328,239.2100067138672,236.84144592285156,824100
2021-01-13,239.1999969482422,244.25,238.58999633789062,243.1999969482422,240.7919464111328,696000
2021-01-14,242.89999389648438,244.11000061035156,240.80999755859375,242.1300048828125,239.73252868652344,1053800
2021-01-15,241.83999633789062,243.66000366210938,238.75,241.99000549316406,239.5939483642578,1281100
2021-01-19,243.0,244.25,240.55999755859375,242.07000732421875,239.6731414794922,835700
2021-01-20,242.39999389648438,246.69000244140625,240.67999267578125,245.2100067138672,242.7820587158203,959200
2021-01-21,244.3800048828125,245.33999633789062,240.47999572753906,243.60000610351562,241.18798828125,991100
2021-01-22,242.60000610351562,243.00999450683594,239.9199981689453,239.92999267578125,237.55430603027344,908600
2021-01-25,239.2100067138672,239.97000122070312,236.8699951171875,239.5500030517578,237.17808532714844,1371600
2021-01-26,240.02999877929688,242.14999389648438,237.72999572753906,238.0,235.64344787597656,1053500
2021-01-27,235.0,235.4600067138672,229.5800018310547,230.75,228.4652099609375,1488900
2021-01-28,232.49000549316406,234.58999633789062,226.8800048828125,230.0,227.72264099121094,2004300
2021-01-29,229.0,229.75999450683594,220.89999389648438,221.00999450683594,218.82167053222656,2192100
2021-02-01,223.52000427246094,227.4199981689453,222.69000244140625,226.5399932861328,224.29690551757812,2097300
2021-02-02,229.52000427246094,238.74000549316406,229.3699951171875,235.1300048828125,232.80186462402344,1850100
2021-02-03,233.67999267578125,235.39999389648438,230.32000732421875,233.9499969482422,231.633544921875,1237900
2021-02-04,233.9499969482422,241.14999389648438,232.5399932861328,237.0800018310547,234.73255920410156,1211000
2021-02-05,240.0500030517578,241.97000122070312,237.97000122070312,238.77999877929688,236.41571044921875,1242300
2021-02-08,238.4199981689453,242.5500030517578,238.05999755859375,242.4499969482422,240.0493621826172,925400
2021-02-09,242.6699981689453,244.27999877929688,240.57000732421875,242.14999389648438,239.75233459472656,758600
2021-02-10,243.80999755859375,244.60000610351562,241.3800048828125,243.02999877929688,240.62362670898438,752300
2021-02-11,244.17999267578125,245.99000549316406,242.5500030517578,245.33999633789062,242.91075134277344,663600
2021-02-12,243.75,248.69000244140625,243.16000366210938,248.14999389648438,245.69293212890625,1294200
2021-02-16,247.42999267578125,248.3000030517578,243.75,247.86000061035156,245.40582275390625,2316200
2021-02-17,247.11000061035156,247.61000061035156,243.63999938964844,246.57000732421875,244.1285858154297,1673800
2021-02-18,245.16000366210938,247.30999755859375,243.42999267578125,245.16000366210938,242.7325439453125,2351500
2021-02-19,245.47999572753906,246.3800048828125,241.08999633789062,242.08999633789062,239.6929473876953,1509200
2021-02-22,240.4199981689453,244.60000610351562,238.74000549316406,243.14999389648438,240.742431640625,1077200
2021-02-23,244.4199981689453,248.14999389648438,241.9600067138672,246.55999755859375,244.11868286132812,1289800
2021-02-24,246.0,249.9199981689453,245.33999633789062,248.82000732421875,246.35630798339844,1274500
2021-02-25,248.85000610351562,250.02000427246094,244.19000244140625,245.77999877929688,243.34640502929688,958100
2021-02-26,247.33999633789062,247.33999633789062,242.11000061035156,242.69000244140625,240.28700256347656,1164700
2021-03-01,245.3000030517578,247.8300018310547,244.9499969482422,245.80999755859375,243.3760986328125,863900
2021-03-02,247.05999755859375,247.1699981689453,243.50999450683594,245.38999938964844,242.96026611328125,996400
2021-03-03,244.10000610351562,245.0500030517578,242.35000610351562,242.8800048828125,240.47511291503906,903400
2021-03-04,242.7899932861328,243.2100067138672,233.05999755859375,235.8000030517578,233.46522521972656,1371100
2021-03-05,237.5800018310547,241.24000549316406,232.5800018310547,240.02999877929688,237.65333557128906,1617600
2021-03-08,239.6999969482422,240.5,235.82000732421875,236.0,233.6632537841797,1308800
2021-03-09,238.1999969482422,242.50999450683594,237.1300048828125,237.1699981689453,234.8216552734375,993100
2021-03-10,238.92999267578125,240.99000549316406,237.17999267578125,240.0800018310547,237.70285034179688,953800
2021-03-11,240.8300018310547,240.99000549316406,238.07000732421875,239.25999450683594,236.89096069335938,1055700
2021-03-12,238.7100067138672,241.2100067138672,238.7100067138672,240.75999450683594,238.37611389160156,692500
2021-03-15,241.39999389648438,241.75999450683594,239.25999450683594,241.25,238.8612518310547,1153800
2021-03-16,241.39999389648438,242.08999633789062,236.3800048828125,238.02999877929688,235.67312622070312,1098500
2021-03-17,239.30999755859375,239.30999755859375,235.52000427246094,236.17999267578125,233.84146118164062,1394400
2021-03-18,235.72999572753906,236.39999389648438,230.3000030517578,230.86000061035156,228.5741424560547,1683100
2021-03-19,230.10000610351562,233.4499969482422,227.83999633789062,230.0,227.72264099121094,2162200
2021-03-22,229.7899932861328,233.1999969482422,228.4499969482422,232.0800018310547,229.7820587158203,892100
2021-03-23,232.02999877929688,233.19000244140625,228.7899932861328,229.42999267578125,227.1582794189453,1212000
2021-03-24,229.97000122070312,236.50999450683594,229.10000610351562,233.80999755859375,231.4949188232422,1336100
2021-03-25,234.3000030517578,236.07000732421875,231.35000610351562,235.33999633789062,233.009765625,1002800
2021-03-26,235.58999633789062,241.2899932861328,234.25999450683594,240.97999572753906,238.5939178466797,1109600
2021-03-29,239.4199981689453,242.83999633789062,238.44000244140625,242.02999877929688,239.63352966308594,1147300
2021-03-30,239.72999572753906,244.60000610351562,239.72999572753906,243.10000610351562,241.32110595703125,1207500
2021-03-31,243.49000549316406,245.22999572753906,243.0399932861328,243.5800018310547,241.79759216308594,1450500
2021-04-01,244.2899932861328,244.2899932861328,241.1300048828125,242.9499969482422,241.17218017578125,790000
2021-04-05,244.92999267578125,248.9600067138672,244.6199951171875,248.47999572753906,246.66172790527344,1250500
2021-04-06,248.07000732421875,249.88999938964844,247.47999572753906,248.38999938964844,246.5723876953125,917200
2021-04-07,248.17999267578125,249.89999389648438,246.3300018310547,247.44000244140625,245.62933349609375,1241100
2021-04-08,248.69000244140625,250.17999267578125,248.07000732421875,249.8699951171875,248.0415496826172,1211500
2021-04-09,250.88999938964844,253.4600067138672,250.4600067138672,253.32000732421875,251.46632385253906,1069000
2021-04-12,252.0,254.00999450683594,251.47999572753906,251.8300018310547,249.98721313476562,1237300
2021-04-13,251.0,253.77999877929688,250.67999267578125,253.57000732421875,251.7144775390625,907000
2021-04-14,254.1300048828125,255.52000427246094,251.8000030517578,252.2899932861328,250.44383239746094,758700
2021-04-15,252.77999877929688,257.1300048828125,252.6300048828125,256.8500061035156,254.9705047607422,1179200
2021-04-16,258.1499938964844,260.0,255.13999938964844,257.1300048828125,255.24842834472656,943100
2021-04-19,256.67999267578125,257.5400085449219,254.50999450683594,256.75,254.87123107910156,854700
2021-04-20,255.97000122070312,259.5,255.25,258.42999267578125,256.5389099121094,949300
2021-04-21,259.7300109863281,264.57000732421875,259.0199890136719,263.8900146484375,261.9589538574219,1191000
